id,estimator,pipe,total_folds,fold,loss,metric
34734117,GradientBoostingRegressor,pipe7,5,1,2.915198050856928,0.7433927665535559
20352731,GradientBoostingRegressor,pipe7,5,2,3.3089393599832286,0.6368800966550778
71295821,GradientBoostingRegressor,pipe7,5,3,3.0518169032149234,0.7355390423778774
66722959,GradientBoostingRegressor,pipe7,5,4,2.7202891245853538,0.7915653457687528
13255954,GradientBoostingRegressor,pipe7,5,5,2.742731587208274,0.8044574380545755
81264019,LinearRegression,pipe8,5,1,2.7362343574054298,0.8159653418037277
54385298,LinearRegression,pipe8,5,2,2.4863428651820145,0.8120855761866286
46090438,LinearRegression,pipe8,5,3,2.59599856762725,0.8289560168370916
20613253,LinearRegression,pipe8,5,4,2.500638513876356,0.8178246310374039
54960193,LinearRegression,pipe8,5,5,2.6706730518018365,0.8406441529917971
19362184,Ridge,pipe8,5,1,2.7218048373689387,0.8178652478507318
20873790,Ridge,pipe8,5,2,2.4767409197599703,0.814323907875354
56526916,Ridge,pipe8,5,3,2.586460718817785,0.8276101772272259
11579899,Ridge,pipe8,5,4,2.4948307052431624,0.8168787774165788
31864115,Ridge,pipe8,5,5,2.6480702562136664,0.8421244714337931
92839450,Lasso,pipe8,5,1,2.6317324935763065,0.8194901554325404
11256743,Lasso,pipe8,5,2,2.4526988166232275,0.8081055778930682
21700980,Lasso,pipe8,5,3,2.6749756512565184,0.8001397712136296
7560288,Lasso,pipe8,5,4,2.5410436179490965,0.7984176788428717
1672544,Lasso,pipe8,5,5,3.0472234172713573,0.7907150151176765
99793414,SVR,pipe8,5,1,1.9113196354774429,0.8962382722925317
81620286,SVR,pipe8,5,2,2.1880203569444308,0.8270170186065694
60707187,SVR,pipe8,5,3,2.6431283967367043,0.7847400741621047
78163264,SVR,pipe8,5,4,2.39521680708436,0.8039274853956515
89014540,SVR,pipe8,5,5,2.5225299633057188,0.8148980209306352
89372296,RandomForestRegressor,pipe8,5,1,2.3979446128471738,0.8172122992272101
89568468,RandomForestRegressor,pipe8,5,2,2.132615681875992,0.8304655938680805
91431888,RandomForestRegressor,pipe8,5,3,2.3528471988913253,0.7996609537657919
46204891,RandomForestRegressor,pipe8,5,4,2.08846309165382,0.8661771330244645
21382824,RandomForestRegressor,pipe8,5,5,2.287015816797312,0.8653177202208362
27777291,ExtraTreesRegressor,pipe8,5,1,2.101971925735368,0.8670577198277272
26658711,ExtraTreesRegressor,pipe8,5,2,1.9435897768793853,0.8571505061178927
40557737,ExtraTreesRegressor,pipe8,5,3,2.361982676536261,0.7992848680481027
82350915,ExtraTreesRegressor,pipe8,5,4,2.1962285402665334,0.8506641429189972
96885344,ExtraTreesRegressor,pipe8,5,5,2.1329794020467343,0.8771350412792464
86856468,AdaBoostRegressor,pipe8,5,1,2.5237260615308164,0.8234464454298899
99257642,AdaBoostRegressor,pipe8,5,2,2.19079631555918,0.8527225732061354
40138785,AdaBoostRegressor,pipe8,5,3,2.461597962899962,0.8201324729302907
23953130,AdaBoostRegressor,pipe8,5,4,2.2497514330488912,0.8431929443790328
45823567,AdaBoostRegressor,pipe8,5,5,2.2487300875287706,0.8710605621493324
90620149,GradientBoostingRegressor,pipe8,5,1,2.348245517954874,0.8305939878805382
22580181,GradientBoostingRegressor,pipe8,5,2,2.0890240844983907,0.8216784157700372
88634210,GradientBoostingRegressor,pipe8,5,3,2.309102214402383,0.825141113130378
53996601,GradientBoostingRegressor,pipe8,5,4,1.9623936009769851,0.8795999878899826
53413309,GradientBoostingRegressor,pipe8,5,5,2.3355000179917083,0.8641221774304153
32617561,LinearRegression,pipe9,5,1,2.8665274941916143,0.7835725076038909
76268133,LinearRegression,pipe9,5,2,3.0810997859724094,0.7169590073007219
81088496,LinearRegression,pipe9,5,3,3.1382484647785254,0.6951161370500369
67212291,LinearRegression,pipe9,5,4,2.7378742265236773,0.7520193504788799
92597805,LinearRegression,pipe9,5,5,3.0947387639988904,0.7339728945057837
81477589,Ridge,pipe9,5,1,2.8660382943779408,0.7836636851348351
67834290,Ridge,pipe9,5,2,3.0809588509286856,0.717015552809138
28675453,Ridge,pipe9,5,3,3.1384088794918026,0.6951185352054641
31925485,Ridge,pipe9,5,4,2.7372578019436067,0.7520593779798067
45584720,Ridge,pipe9,5,5,3.094978170645837,0.7338483910586322
70960887,Lasso,pipe9,5,1,2.9346091534694616,0.7781843308565937
57163310,Lasso,pipe9,5,2,3.0978454493971963,0.720102849551151
61181639,Lasso,pipe9,5,3,3.226040138903786,0.6909333934827366
13744442,Lasso,pipe9,5,4,2.644003978103816,0.7627747029320626
32594432,Lasso,pipe9,5,5,3.2036125646688656,0.7234483419883173
61146163,SVR,pipe9,5,1,2.584047369111927,0.8125134092734732
99660039,SVR,pipe9,5,2,3.1496313432709404,0.6924118521180749
30129068,SVR,pipe9,5,3,3.137483461997107,0.6731082030237943
66684256,SVR,pipe9,5,4,2.6619293670694844,0.7190120043010029
12236886,SVR,pipe9,5,5,3.033153039326087,0.7479180022480066
4972443,RandomForestRegressor,pipe9,5,1,2.490910289301433,0.8347893826197081
83377991,RandomForestRegressor,pipe9,5,2,2.5813974609541805,0.7973042505466346
8045134,RandomForestRegressor,pipe9,5,3,3.1679905835657767,0.7005704561864932
50196533,RandomForestRegressor,pipe9,5,4,2.4254913904247086,0.8152927947678787
78197274,RandomForestRegressor,pipe9,5,5,2.383595820508863,0.8367528327861421
72489188,ExtraTreesRegressor,pipe9,5,1,2.469551092077915,0.8395687328426881
71482090,ExtraTreesRegressor,pipe9,5,2,2.666055592539992,0.7760538909338576
51150445,ExtraTreesRegressor,pipe9,5,3,3.06190189825319,0.7146032945421026
88441687,ExtraTreesRegressor,pipe9,5,4,2.3564483511979533,0.8246249846075306
25580407,ExtraTreesRegressor,pipe9,5,5,2.662280651447438,0.7966756624681943
2716839,AdaBoostRegressor,pipe9,5,1,2.8251451977435127,0.7763817631904231
61838515,AdaBoostRegressor,pipe9,5,2,2.733144842925748,0.7851536467015888
16773495,AdaBoostRegressor,pipe9,5,3,3.2808454961503606,0.6673546923894456
73789093,AdaBoostRegressor,pipe9,5,4,2.242023013210579,0.854266003605137
93459927,AdaBoostRegressor,pipe9,5,5,2.9318693638484925,0.7853213901075565
78579846,GradientBoostingRegressor,pipe9,5,1,2.597153611177608,0.8013589813446217
